Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 61.0.3163.100,,2017-10-30 06:19:31,2017-10-30 06:20:59,1m - 28.182s,FAILED
,,,,,,
Test Cases/TC01,Chrome 61.0.3163.100,Login with valid credentials and open NFL Player record,2017-10-30 06:19:31,2017-10-30 06:19:49,17.159s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-30 06:19:32,2017-10-30 06:19:35,2.760s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-30 06:19:35,2017-10-30 06:19:36,1.185s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-30 06:19:36,2017-10-30 06:19:48,11.968s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:19:48,2017-10-30 06:19:48,0.250s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:19:48,2017-10-30 06:19:48,0.158s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 06:19:48,2017-10-30 06:19:48,0.058s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-10-30 06:19:48,2017-10-30 06:19:48,0.131s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:19:48,2017-10-30 06:19:49,0.127s,PASSED
,,,,,,
Test Cases/TC02,Chrome 61.0.3163.100,,2017-10-30 06:19:49,2017-10-30 06:20:20,31.825s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:19:49,2017-10-30 06:20:07,17.760s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:20:07,2017-10-30 06:20:08,1.385s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:20:08,2017-10-30 06:20:09,0.859s,PASSED
switchToFrame,Chrome 61.0.3163.100,,2017-10-30 06:20:09,2017-10-30 06:20:09,0.070s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:20:09,2017-10-30 06:20:09,0.378s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 06:20:09,2017-10-30 06:20:20,11.095s,PASSED
,,,,,,
Test Cases/TC03,Chrome 61.0.3163.100,,2017-10-30 06:20:20,2017-10-30 06:20:58,37.757s,FAILED
switchToDefaultContent,Chrome 61.0.3163.100,,2017-10-30 06:20:21,2017-10-30 06:20:21,0.021s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:20:21,2017-10-30 06:20:22,1.310s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:20:22,2017-10-30 06:20:23,1.349s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:20:23,2017-10-30 06:20:25,1.625s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:20:25,2017-10-30 06:20:25,0.290s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:20:25,2017-10-30 06:20:58,33.067s,FAILED
